id,summary,start,end,location
ADE6050726f6a65745f323032332d323032342d3132323934352d302d36,traitement numérique des données,20240322T123000Z,20240322T153000Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d3132323934352d302d36,traitement numérique des données,20240322T123000Z,20240322T153000Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d3133313736342d302d38,Atlantic,20240319T070000Z,20240319T170000Z,Halle FOURIER-1
ADE6050726f6a65745f323032332d323032342d3133313736342d302d38,Atlantic,20240319T070000Z,20240319T170000Z,Halle FOURIER-2
ADE6050726f6a65745f323032332d323032342d31333730382d302d31,Thermique du bâtiment éval TPC,20240319T124500Z,20240319T164500Z,GT2.11
ADE6050726f6a65745f323032332d323032342d3131363238352d302d37,TD Suivi économique des travaux,20240321T144500Z,20240321T164500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d32303936392d302d30,Solaire TPB,20240322T093000Z,20240322T113000Z,GT2.12 Transfert
ADE6050726f6a65745f323032332d323032342d35393635342d312d30,Saé 2.02 TPC,20240320T124500Z,20240320T164500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d35393635342d312d30,Saé 2.02 TPC,20240320T124500Z,20240320T164500Z,GT0.07
ADE6050726f6a65745f323032332d323032342d37323238312d302d32,Bois énergie TD1,20240320T073000Z,20240320T093000Z,GT109a
ADE6050726f6a65745f323032332d323032342d37323238312d302d32,Bois énergie TD1,20240320T073000Z,20240320T093000Z,GT109b
ADE6050726f6a65745f323032332d323032342d36323130342d302d35,SAé 4.01 Autonomie TPC,20240318T144500Z,20240318T164500Z,GT2.11
ADE6050726f6a65745f323032332d323032342d37343739332d302d31,Bois énergie TD2,20240320T093000Z,20240320T113000Z,GT109a
ADE6050726f6a65745f323032332d323032342d32343130392d302d36,informatique,20240318T140000Z,20240318T153000Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d32343130392d302d36,informatique,20240318T140000Z,20240318T153000Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d37333235372d302d30,TP Production et distribution de vapeur Optim A (Quattrone),20240321T124500Z,20240321T154500Z,Halle FOURIER-2
ADE6050726f6a65745f323032332d323032342d39383730302d302d30,TD Installations de cogénération Real,20240319T144500Z,20240319T164500Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d39383730302d302d30,TD Installations de cogénération Real,20240319T144500Z,20240319T164500Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d3133313736342d302d39,Atlantic,20240318T070000Z,20240318T170000Z,Halle FOURIER-1
ADE6050726f6a65745f323032332d323032342d3133313736342d302d39,Atlantic,20240318T070000Z,20240318T170000Z,Halle FOURIER-2
ADE6050726f6a65745f323032332d323032342d3131363238352d302d36,TD Suivi économique des travaux,20240321T124500Z,20240321T144500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d39383132372d302d30,Portfolio autonomie TPA,20240320T093000Z,20240320T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d3132393231372d302d36,Pléiades LP EE,20240320T123000Z,20240320T163000Z,GT2.11
ADE6050726f6a65745f323032332d323032342d38393735382d322d30,SAé 4.03 Réal autonomie TPC,20240320T073000Z,20240320T093000Z,GT1.06
ADE6050726f6a65745f323032332d323032342d39393034322d302d31,Thermique du bâtiment éval TPD,20240319T124500Z,20240319T164500Z,GT109a
ADE6050726f6a65745f323032332d323032342d37353332382d302d30,Conduite de projets TD2 info,20240322T093000Z,20240322T113000Z,GT109b
ADE6050726f6a65745f323032332d323032342d37353332382d302d30,Conduite de projets TD2 info,20240322T093000Z,20240322T113000Z,GT109a
ADE6050726f6a65745f323032332d323032342d37313233342d302d31,TD Installations de cogénération Optim,20240322T123000Z,20240322T143000Z,GT109a
ADE6050726f6a65745f323032332d323032342d37313233342d302d31,TD Installations de cogénération Optim,20240322T123000Z,20240322T143000Z,GT109b
ADE6050726f6a65745f323032332d323032342d3132393231372d302d35,Pléiades LP EE,20240320T073000Z,20240320T113000Z,GT2.11
ADE6050726f6a65745f323032332d323032342d37313233342d302d32,TD Installations de cogénération Optim,20240322T093000Z,20240322T113000Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d37313233342d302d32,TD Installations de cogénération Optim,20240322T093000Z,20240322T113000Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d32303936392d302d31,Solaire TPB,20240320T093000Z,20240320T113000Z,GT2.12 Transfert
ADE6050726f6a65745f323032332d323032342d39393033372d302d31,Thermique du bâtiment éval TPA,20240320T124500Z,20240320T164500Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d32343039392d302d35,informatique,20240318T123000Z,20240318T140000Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d32343039392d302d35,informatique,20240318T123000Z,20240318T140000Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d313232352d372d30,traitement numérique des données,20240320T083000Z,20240320T113000Z,GT1.07a
ADE6050726f6a65745f323032332d323032342d313232352d372d30,traitement numérique des données,20240320T083000Z,20240320T113000Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d35393635352d312d30,Saé 2.02 TPB,20240318T073000Z,20240318T113000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d35393635352d312d30,Saé 2.02 TPB,20240318T073000Z,20240318T113000Z,GT1.11
